South Sudan,Upper Nile State,Akoka County,Wunthow Payam,Wunthow Center Boma
South Sudan,Upper Nile State,Maiwut County,Kigile Payam,Abajabe Boma
South Sudan,Lakes State,Rumbek Centre County,Rumbek Town Payam,Abarkou Boma
South Sudan,Lakes State,Rumbek Centre County,Jiir Payam,Abarkou Boma
South Sudan,Lakes State,Rumbek Centre County,Malek Payam,Abeer Boma
South Sudan,Lakes State,Rumbek Centre County,Matangai Payam,Abeer Boma
South Sudan,Lakes State,Rumbek Centre County,Rumbek Town Payam,Abeer Boma
South Sudan,Upper Nile State,Baliet County,Adong Payam,Abei Boma
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Abienyai Boma
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Abila Boma
South Sudan,Lakes State,Rumbek Centre County,Jiir Payam,Abinajok Boma
South Sudan,Warrap State,Tonj East County,Paliang Payam,Abior Boma
South Sudan,Upper Nile State,Panyikang County,Pakang Payam,Abujop Boma
South Sudan,Jonglei State,Akobo County,Alali Payam,Abuk Boma
South Sudan,Upper Nile State,Renk County,North Renk Payam,Abukazer Boma
South Sudan,Western Bahr El Ghazal State,Raga County,Uyujuku Payam,Abul Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Abul Payam,Abul Boma
South Sudan,Lakes State,Awerial County,Abuyung Payam,Abuod Baai Boma
South Sudan,Western Bahr El Ghazal State,Wau County,Besselia Payam,Abushaka Boma
South Sudan,Upper Nile State,Baliet County,Abwong Payam,Abwong Boma
South Sudan,Warrap State,Twic County,Ajak-kuac Payam,Abyei Boma
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Malual East Payam,Abyei Chok I Boma
South Sudan,Abyei Administrative Area,Abyei County,Abyei Payam,Abyei Jong Yom Boma
South Sudan,Abyei Administrative Area,Abyei County,Abyei Payam,Abyei-thony Boma
South Sudan,Pibor Administrative Area,Pochalla County,Pochalla Payam,Achairi Boma
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Achak Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Achana Payam,Achana Boma
South Sudan,Lakes State,Rumbek North County,Malueeth Payam,Achiek Boma
South Sudan,Warrap State,Tonj North County,Kirik Payam,Achiir Boma
South Sudan,Warrap State,Tonj North County,Rual-bet Payam,Achol Boma
South Sudan,Warrap State,Tonj North County,Akop Payam,Acholok Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Rocrocdong Payam,Achot Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Wathmuok Payam,Achuan Boma
South Sudan,Warrap State,Tonj East County,Palal Payam,Aciengegreu Boma
South Sudan,Lakes State,Cueibet County,Malou Pec Payam,Acol Malek Boma
South Sudan,Warrap State,Tonj North County,Marial Lou Payam,Adau Boma
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Kurumi Payam,Adeba Boma
South Sudan,Upper Nile State,Manyo County,Kaka Payam,Aderi Boma
South Sudan,Warrap State,Tonj North County,Alabek Payam,Adinydou Boma
South Sudan,Central Equatoria State,Yei County,Tore Payam,Adio Boma
South Sudan,Lakes State,Rumbek Centre County,Amongpiny Payam,Adol Boma
South Sudan,Lakes State,Rumbek Centre County,Rumbek Town Payam,Adol Boma
South Sudan,Warrap State,Tonj East County,Malualcum Payam,Adol Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Wunlang Payam,Adool Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Malual Bai Payam,Adoor Boma
South Sudan,Upper Nile State,Panyikang County,Dheteim Payam,Adot Boma
South Sudan,Jonglei State,Twic East County,Pakeer Payam,Adubaar Boma
South Sudan,Lakes State,Rumbek East County,Aduel Payam,Aduel Boma
South Sudan,Lakes State,Rumbek East County,Atiaba Payam,Aduel Boma
South Sudan,Warrap State,Gogrial West County,Akon South Payam,Agaldit Boma
South Sudan,Warrap State,Gogrial West County,Akon South Payam,Agaldit Boma
South Sudan,Lakes State,Yirol West County,Aluakluak Payam,Agany Boma
South Sudan,Warrap State,Tonj East County,Mayen Payam (Tonj E),Ager Boma
South Sudan,Western Equatoria State,Ezo County,Bagidi Payam,Agiango Boma
South Sudan,Western Bahr El Ghazal State,Wau County,Wau South Payam,Agok Boma
South Sudan,Lakes State,Cueibet County,Duony Payam,Agok Boma
South Sudan,Upper Nile State,Melut County,Wunamum Payam,Agordiit Boma
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Agoro Boma
South Sudan,Lakes State,Awerial County,Bunangok Payam,Aguarkuoth Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Gomjuer East Payam,Aguat Boma
South Sudan,Warrap State,Tonj South County,Wath-alel Payam,Aguath Boma
South Sudan,Warrap State,Tonj South County,Tonj Payam,Aguka Boma
South Sudan,Lakes State,Yirol West County,Mapuordit Payam,Agutraan Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Madhol Payam,Ajiep Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Malual Bai Payam,Ajieriak Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Ayai Payam,Ajiith Bok Boma
South Sudan,Central Equatoria State,Kajo-Keji County,Liwolo Payam,Ajio Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Ayat Center Payam,Ajok Boma
South Sudan,Upper Nile State,Panyikang County,Pakang Payam,Ajok Boma
South Sudan,Warrap State,Twic County,Wunrok Payam,Ajoong Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Ajuet Alel Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Ajuet Toich Boma
South Sudan,Pibor Administrative Area,Pochalla County,Adongo Payam,Ajwara Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Gakrol Payam,Akac Boma
South Sudan,Warrap State,Twic County,Pannyok Payam,Akak Boma
South Sudan,Jonglei State,Bor South County,Baidit Payam,Akayiech Boma
South Sudan,Abyei Administrative Area,Abyei County,Alal Payam,Akec-Nhial Boma
South Sudan,Lakes State,Yirol West County,Geng-geng Payam,Akekoi Boma
South Sudan,Lakes State,Yirol East County,Adior Payam,Akeu Boma
South Sudan,Warrap State,Tonj East County,Palal Payam,Akier Boma
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Akok Boma
South Sudan,Upper Nile State,Akoka County,Akoka Payam,Akoka Boma
South Sudan,Lakes State,Rumbek Centre County,Jiir Payam,Akoljal Boma
South Sudan,Ruweng Administrative Area,Pariang County,Biu Payam,Akot Boma
South Sudan,Lakes State,Cueibet County,Citcok Payam,Akot Boma
South Sudan,Upper Nile State,Akoka County,Akudueng Payam,Akotweng  Boma
South Sudan,Ruweng Administrative Area,Pariang County,Nyiel Payam,Akotweng Boma
South Sudan,Western Equatoria State,Tambura County,Tambura Payam,Akpa Boma
South Sudan,Lakes State,Yirol East County,Adior Payam,Akuai Boma
South Sudan,Jonglei State,Bor South County,Jalle Payam,Akuai-deng Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Ayat West Payam,Akuang Rial Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Marial Bai Payam,Akuem Akok/Achongacong Boma
South Sudan,Jonglei State,Twic East County,Ajuong Payam,Akuoch Boma
South Sudan,Upper Nile State,Manyo County,Kaka Payam,Akurwa Boma
South Sudan,Jonglei State,Akobo County,Alali Payam,Alali Boma
South Sudan,Jonglei State,Pigi County,Alam Payam,Alam Boma
South Sudan,Pibor Administrative Area,Pochalla County,Adongo Payam,Alari Boma
South Sudan,Warrap State,Gogrial West County,Alek South Payam,Alek Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Marial Bai Payam,Alekchok Boma
South Sudan,Warrap State,Tonj East County,Maparah Payam,Alel Boma
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Alel Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Kangi Payam,Alelthony Boma
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Alia Boma
South Sudan,Ruweng Administrative Area,Pariang County,Biu Payam,Aliap Boma
South Sudan,Pibor Administrative Area,Pochalla County,Adongo Payam,Alieo Boma
South Sudan,Jonglei State,Twic East County,Nyuak Payam,Aliet Boma
South Sudan,Ruweng Administrative Area,Pariang County,Aliiny Payam,Alilang Boma
South Sudan,Ruweng Administrative Area,Pariang County,Biu Payam,Aloch Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Bar Mayen Payam,Alok Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Nyocawany I Payam,Alok Boma
South Sudan,Central Equatoria State,Morobo County,Wudabi Payam,Aloto Boma
South Sudan,Lakes State,Yirol West County,Aluakluak Payam,Aluakluak Boma
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Alual Boma
South Sudan,Warrap State,Gogrial West County,Alek West Payam,Alueth Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Kuajiena Payam,Alur Boma
South Sudan,Western Equatoria State,Mundri West County,Amadi Payam,Amadi Boma
South Sudan,Western Equatoria State,Maridi County,Kozi Payam,Amaki Boma
South Sudan,Jonglei State,Pigi County,Khorwac Payam,Amannyang Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Madhol Payam,Amarjal Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Ayai Payam,Amat Weer Boma
South Sudan,Lakes State,Yirol East County,Malek Payam (Yirol E),Amatnhom Boma
South Sudan,Lakes State,Rumbek East County,Mathiang-kok Payam,Ameer Boma
South Sudan,Warrap State,Gogrial West County,Alek South Payam,Ameeth Boma
South Sudan,Abyei Administrative Area,Abyei County,Abyei Payam,Amenth bek Boma
South Sudan,Lakes State,Rumbek East County,Akot Payam,Ameth Agok Boma
South Sudan,Warrap State,Gogrial West County,Akon North Payam,Ameth Boma
South Sudan,Lakes State,Cueibet County,Abiriu Payam,Ameth Duol Boma
South Sudan,Warrap State,Gogrial West County,Akon North Payam,Amethhh Boma
South Sudan,Jonglei State,Duk County,Dongchak Payam,Amiel Boma
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Marguna Payam,Amiru Boma
South Sudan,Lakes State,Rumbek North County,Mayen Payam,Amok Boma
South Sudan,Lakes State,Rumbek Centre County,Amongpiny Payam,Amongpiny Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Madhol Payam,Amoth Akok Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Gomjuer West Payam,Amudho Boma
South Sudan,Lakes State,Cueibet County,Pagor Payam,Anaak Boma
South Sudan,Upper Nile State,Renk County,Jalhak Payam,Anambul Boma
South Sudan,Warrap State,Tonj East County,Ananatak Payam,Ananatak Boma
South Sudan,Western Equatoria State,Ezo County,Andari Payam,Andari Centre Boma
South Sudan,Pibor Administrative Area,Pibor County,Kiziongora Payam,Angaimo  Boma
South Sudan,Warrap State,Gogrial East County,Pathuon East Payam,Anger Nger Boma
South Sudan,Warrap State,Tonj South County,Thiet Payam,Angol Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Baach Payam,Angoot Boma
South Sudan,Warrap State,Gogrial West County,Kuac North Payam,Angui Boma
South Sudan,Warrap State,Gogrial West County,Riau Payam,Anguoth Boma
South Sudan,Warrap State,Twic County,Turalei Payam,Anyiel-Kuac Boma
South Sudan,Warrap State,Tonj East County,Paliang Payam,Anyijong Boma
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Anzara Boma
South Sudan,Jonglei State,Akobo County,Alali Payam,Aparawanga Boma
South Sudan,Lakes State,Rumbek Centre County,Malek Payam,Apeet Boma
South Sudan,Upper Nile State,Akoka County,Rom Payam (Baliet),Arae Boma
South Sudan,Ruweng Administrative Area,Pariang County,Wunkur Payam,Arech Boma
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Mangar Tong Payam,Ariak Ariak Boma
South Sudan,Jonglei State,Bor South County,Bor Payam,Ariek Boma
South Sudan,Lakes State,Yirol East County,Adior Payam,Aroum-nyiel Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Aroyo Payam,Aroyo Boma
South Sudan,Central Equatoria State,Juba County,Lokiliri Payam,Aru Boma
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Aruch Boma
South Sudan,Lakes State,Yirol East County,Lekakedu Payam,Aruom-Nyiel Boma
South Sudan,Upper Nile State,Manyo County,Wadakona Payam,Ashik Boma
South Sudan,Central Equatoria State,Yei County,Lasu Payam,Asoli Boma
South Sudan,Upper Nile State,Malakal County,Southern Malakal Payam,Assosa Boma
South Sudan,Eastern Equatoria State,Kapoeta South County,Kapoeta Town Payam,Atalabara Boma
South Sudan,Jonglei State,Pigi County,Atar Payam,Atar School Boma
South Sudan,Lakes State,Yirol West County,Anuol Payam,Ateerbaai Boma
South Sudan,Upper Nile State,Manyo County,Athidwoi Payam,Athidwoi Boma
South Sudan,Warrap State,Tonj North County,Akop Payam,Athiengpuol Boma
South Sudan,Ruweng Administrative Area,Pariang County,Aliiny Payam,Athony Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Kangi Payam,Athor Boma
South Sudan,Lakes State,Rumbek East County,Atiaba Payam,Atiaba Boma
South Sudan,Western Bahr El Ghazal State,Jur River County,Udici Payam,Atido Boma
South Sudan,Upper Nile State,Panyikang County,Tonga Payam,Atiego Boma
South Sudan,Lakes State,Rumbek East County,Akot Payam,Atiriu Boma
South Sudan,Central Equatoria State,Juba County,Kator Payam,Atlabara Boma
South Sudan,Lakes State,Awerial County,Dor Payam,Atorok I Boma
South Sudan,Lakes State,Awerial County,Dor Payam,Atorok II Boma
South Sudan,Warrap State,Gogrial West County,Alek South Payam,Atukuel Boma
South Sudan,Eastern Equatoria State,Torit County,Bur Payam,Autak Boma
South Sudan,Central Equatoria State,Yei County,Tore Payam,Avokaya Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Awada Payam,Awada Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Abul Payam,Awada Boma
South Sudan,Ruweng Administrative Area,Abiemnhom County,Aworpiny Payam,Awar Piny Boma
South Sudan,Upper Nile State,Renk County,Jalhak Payam,Awarpiny Boma
South Sudan,Ruweng Administrative Area,Abiemnhom County,Abiemnom Payam,Awarpiny Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Aweil Town Payam,Aweil Town Boma
South Sudan,Upper Nile State,Baliet County,Adong Payam,Awier Boma
South Sudan,Western Bahr El Ghazal State,Wau County,Wau North Payam,Awiil Jedid Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Awil Alel Boma
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Awil Toich Boma
South Sudan,Warrap State,Twic County,Wunrok Payam,Awilgik Boma
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Awuch Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Awulic Payam,Awulic Boma
South Sudan,Warrap State,Tonj North County,Awuul Payam,Awuul Boma
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Ayai Payam,Ayai Boma
South Sudan,Upper Nile State,Manyo County,Wadakona Payam,Ayat Boma
South Sudan,Jonglei State,Twic East County,Lith Payam,Ayathgak Boma
South Sudan,Upper Nile State,Panyikang County,Tonga Payam,Ayidhag Boma
South Sudan,Lakes State,Yirol East County,Adior Payam,Ayiem Boma
South Sudan,Lakes State,Yirol East County,Lekakedu Payam,Ayiem Boma
South Sudan,Warrap State,Gogrial West County,Akon South Payam,Ayien Boma
South Sudan,Warrap State,Twic County,Turalei Payam,Ayien Boma
South Sudan,Warrap State,Gogrial West County,Akon South Payam,Ayien Boma
South Sudan,Warrap State,Tonj East County,Makuac Payam,Ayok Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Aweil Town Payam,Ayuang Boma
South Sudan,Jonglei State,Duk County,Padiet Payam,Ayueldit Boma
South Sudan,Jonglei State,Duk County,Panyang Payam,Baan Boma
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Bar Mayen Payam,Baau Boma
South Sudan,Western Equatoria State,Ibba County,Madebe Payam,Babaadi Boma
South Sudan,Upper Nile State,Renk County,Chemmedi Payam,Babanis Boma
South Sudan,Western Equatoria State,Yambio County,Ri-rangu Payam,Badagbu Boma
