Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:3,_order:126,Data class,Data type,Answers
a226366c-01ca-4c6c-8817-15ccceba3263,,Follow up - Scheduled,Scheduled,Follow up - Scheduled,,,,Question,Boolean,
ee31f5fc-40b8-417d-8350-1a74431c220b,,ART Follow up - Scheduled Date,Date,ART Follow up - Scheduled Date,,,,Question,Date,
9efbdca3-7ca8-4205-8285-46151802a887,,Duration For Current Regimen,Duration For Current Regimen,Duration For Current Regimen,,,,Question,Date,
8df413d9-e018-4a38-817f-fcf718f0df2f,,Current on FP,Current on FP,Current on FP,,,,Question,Boolean,
1fe0597e-470d-49bd-9d82-9c7b7342dab0,,Condoms,,,,,,Misc,N/A,
609d59f7-79d1-4748-ad86-57c831dbff60,,FP Method,FP Method,FP Method,,,,Question,Coded,Condoms ; Implant ;IUCD ; Depo
1ccceceb-fb05-4ef6-845b-e0d64d3f9ba4,,FP Pregnant,Pregnant,Pregnant,,,,Question,Boolean,
12118225-edad-45e2-9313-a5bca2cb4995,,EDD,EDD,EDD,,,,Question,Date,
1d593268-8a2d-4030-bf1d-9c341d47f875,,PMTCT - HIV & ART Follow up,PMTCT,PMTCT - HIV & ART Follow up,,,,Question,Boolean,
da20f4fc-94b4-421c-896c-cf16a834227a,,Enroll Patient To PMTCT,Enroll to PMTCT,Enroll Patient To PMTCT,,,,Question,Boolean,
cf5c7deb-f67c-4406-82ea-d619e502f47c,,Currently Breastfeeding?,Currently Breastfeeding?,Currently Breastfeeding?,,,,Question,Boolean,
58ab89cd-6674-480b-95a0-5b761b0275cb,,On TB Treatment,On TB Treatment,On TB Treatment,,,,Question,Boolean,
d0fb2449-a933-45fe-9131-6b6fa2f7d405,,Date Started TB Treatment,,,,,,Question,Date,
6cc3d304-26b5-43e1-951a-8a94a30841da,,TB Unit Number,,,,,,Question,Text,
6cb947c5-b4a9-443c-b9e8-8b699d0419aa,,TB Clinic Enrolled,TB Clinic,TB Clinic Enrolled,,,,Question,Text,
ce828c13-dea2-43b7-85b9-975c5613b2db,,Date Started TB RX,Date Started TB RX,Date Started TB RX,,,,Question,Date,
ba37b7be-2a5e-42ef-90f6-f4cd4723947e,,1g=TDF+3TC+NVP,1g=TDF+3TC+NVP,1g=TDF+3TC+NVP,,,,Misc,N/A,
9286a105-8266-405b-a35a-a458d3a4c3d8,,2HRZE/4RH,2HRZE/4RH,2HRZE/4RH,,,,Misc,N/A,
ddd4b2d1-014e-4c8d-87d9-37de3685e37a,,2SHRZE/1HRZE/5RH,2SHRZE/1HRZE/5RH,2SHRZE/1HRZE/5RH,,,,Misc,N/A,
60388cf0-25df-4148-9e34-6ddd9e988323,,2HRZE/10RH,2HRZE/10RH,2HRZE/10RH,,,,Misc,N/A,
d02b83cd-eaff-4015-a434-01406239c298,,4 Am-Mfx-Pto-Clz-Z-H high-dose-E/5 Mfx-Cfx-Cfz-Z-E,4 Am-Mfx-Pto-Clz-Z-H high-dose-E/5 Mfx-Cfx-Cfz-Z-E,4 Am-Mfx-Pto-Clz-Z-H high-dose-E/5 Mfx-Cfx-Cfz-Z-E,,,,Misc,N/A,
5ba046b4-42e9-4ffb-81a2-6cd4fc03ee70,,TB Regimen Second Line,TB Regimen Second Line,TB Regimen Second Line,,,,Question,Coded,4 Am-Mfx-Pto-Clz-Z-H high-dose-E/5 Mfx-Cfx-Cfz-Z-E
4199b8d5-ab1f-4623-9083-a6764059f424,,TB Regimen For Children,TB Regimen For Children,TB Regimen For Children,,,,Question,Coded,2HRZE/10RH
1c44444b-ac9a-4d2a-bb83-9299ab05668c,,TB Regimen On,TB Regimen On,TB Regimen On,,,,Question,Coded,2HRZE/4RH ; 2SHRZE/1HRZE/5RH
13498474-ba95-4fec-8010-c8c5e24748ff,,Side Effects,Side Effects,Side Effects,,,,Question,Text,
be8d8351-6dad-4f91-a5a1-40c56656bbf5,,New OI (other Problems),New OI (other Problems),,,,,Question,Text,
88f2a6ea-367d-45dc-942a-b809b0d17275,,Stage 1,Stage 1,Stage 1,,,,Misc,N/A,
17a3b24b-e107-49fe-8b0d-69c3b7e60f4c,,Stage 2,Stage 2,Stage 2,,,,Misc,N/A,
ebd187f8-d15a-4fad-8849-9f74da5c3fc9,,Stage 3,Stage 3,Stage 3,,,,Misc,N/A,
831d263e-4dfb-4f05-bcfb-629961c07844,,Stage 4,Stage 4,Stage 4,,,,Misc,N/A,
e38e6ce2-92d9-4382-927b-5555ff9fa850,,WHO Stage,WHO Stage,WHO Stage,,,,Question,Coded,Stage 1 ;Stage 2 ;Stage 3;Stage 4
222dc837-30a5-42c4-a0a9-7d4a125ffe70,,Cotrimoxazole/Dapsone,Cotrimoxazole/Dapsone,Cotrimoxazole/Dapsone,,,,Question,Boolean,
74e61e07-fd72-4d67-ab85-b87ceec3b637,"","Cotrimoxazole/Dapsone,ART Followup",Cotrimoxazole/Dapsone,"","","","",Question,Boolean,""
2b103b92-c562-4cae-b433-9cdbb5d7bff3,,CTX Dose,,,,,,Question,Text,
4238e921-d4c8-4645-ab94-b4f4bf5f2d93,,Dose,Dose,Dose,,,,Question,Text,
ac775264-a811-4b3e-a64f-0c20ae8f9b0c,,Adherence Dose/Days - Number of Days,Number of Days Dispensed,,,,,Question,Numeric,
7ddb08f2-09e8-48ef-a08f-3744467fec48,,INH,INH,INH,,,,Question,Boolean,
41cde1fd-31b7-4e76-821a-c6b85b73ffe3,,Number of Pill Dispensed(INH),Number of Pill Dispensed(INH),Number of Pill Dispensed(INH),,,,Question,Numeric,
b6ae8e33-aa58-47e4-84be-5b8599a177b7,,ART Follow up - Information,Follow Up Information,ART Follow up - Information,,,,Misc,N/A,
9062c6d9-a650-44d2-8929-da84f617c427,,1a = AZT/3TC+EFV,1a = AZT/3TC+EFV,,,,,Misc,N/A,
c22e6700-a937-4909-b4ad-e82ff51325ac,,1b = AZT/3TC/NVP,1b = AZT/3TC/NVP,,,,,Misc,N/A,
a00d9620-e88b-4c2f-9293-b1ac9e5943f2,,1c = TDF/3TC/DTG,1c = TDF/3TC/DTG,,,,,Misc,N/A,
5d500ca2-350a-49ee-a3d4-f340db32ff31,,1d=ABC/3TC (600/300)/DTG,1d=ABC/3TC (600/300)/DTG,,,,,Misc,N/A,
3fd242a8-7ade-463c-8919-d82573ea8526,,1e = AZT/3TC +DTG,1e = AZT/3TC +DTG,,,,,Misc,N/A,
91f5d0d6-eb81-484f-9376-4bfb926a5a81,,1f = TDF/3TC+EFV,1f = TDF/3TC+EFV,,,,,Misc,N/A,
0dd3e78f-e1fc-47de-95bc-1f489d0dfcc5,,1g = TDF/3TC+NVP,1g = TDF/3TC+NVP,,,,,Misc,N/A,
4a86fbee-07a9-422a-bf69-16256c0c2b8b,,1h = TDF/FTC/EFV,1h = TDF/FTC/EFV,,,,,Misc,N/A,
bd97cacd-4a91-4901-8803-3a4a2e5f1ca8,,2a=AZT/3TC+DTG,2a=AZT/3TC+DTG,,,,,Misc,N/A,
ad6ff4ef-769e-4aec-b8bb-7f033fe6aaaa,,2b=ABC/3TC+DTG,2b=ABC/3TC+DTG,,,,,Misc,N/A,
47167ec1-4957-4d0a-a58c-3894bdeb93ff,,2c=TDF+3TC+LPV/r,2c=TDF+3TC+LPV/r,,,,,Misc,N/A,
e649a0ec-e193-4af0-bb49-02687107a893,,2d=TDF/3TC+ATV/r,2d=TDF/3TC+ATV/r,,,,,Misc,N/A,
accca537-b8ee-41ec-b902-7de814d099b2,,2e=TDF/FTC-LPV/r,2e=TDF/FTC-LPV/r,,,,,Misc,N/A,
77f201fc-aefc-4068-baa7-cb3284782a38,,2f=TDF/FTC-ATV/r,2f=TDF/FTC-ATV/r,,,,,Misc,N/A,
cb0f9fcd-fb52-493f-95aa-d0197387fbdb,,2g=AZT/3TC+LPV/r,2g=AZT/3TC+LPV/r,,,,,Misc,N/A,
28790bde-81db-4490-806b-ac10c17b41dc,,2h=AZT/3TC+ATV/r,2h=AZT/3TC+ATV/r,,,,,Misc,N/A,
aae69cae-2806-4e8b-a916-f22ed733a19b,,2i=ABC/3TC+LPV/r,2i=ABC/3TC+LPV/r,,,,,Misc,N/A,
64336206-c9bc-4d37-accf-c7abac7a37f6,,2j=ABC/3TC+ATV/r,2j=ABC/3TC+ATV/r,,,,,Misc,N/A,
25f0cca5-902d-4e36-9e4f-5ce5da744a75,,2k=TDF/3TC/DTG,2k=TDF/3TC/DTG,,,,,Misc,N/A,
23322fd6-3dbb-410e-8bee-6210dfcd5f71,,ARV Regimen,ARV Regimen,ARV Regimen,,,,Question,Coded,"1a = AZT/3TC+EFV ;
1b = AZT/3TC/NVP ;
1c = TDF/3TC/DTG ;
1d=ABC/3TC (600/300)/DTG ;
1e = AZT/3TC +DTG ; 
1f = TDF/3TC+EFV ;
1g = TDF/3TC+NVP ;
1h = TDF/FTC/EFV ;
2a=AZT/3TC+DTG ;
2b=ABC/3TC+DTG ;
2c=TDF+3TC+LPV/r ;
2d=TDF/3TC+ATV/r ;
2e=TDF/FTC-LPV/r ;
2f=TDF/FTC-ATV/r ;
2g=AZT/3TC+LPV/r ;
2h=AZT/3TC+ATV/r ;
2i=ABC/3TC+LPV/r ;
2j=ABC/3TC+ATV/r ;
2k=TDF/3TC/DTG"
4ab28128-7ef3-452d-86d5-73561761b08a,,Number of Days Dispensed,Number of Days,Number of Days Dispensed,,,,Question,Numeric,
fc684917-4deb-42cf-9245-8a13c6a232bc,,Date VL Sample Collected?,Date VL Sample Collected?,Date VL Sample Collected?,,,,Question,Date,
8b5ef5c4-3c88-49b8-87e5-cb8d30caa77d,,VL Results,VL Result,VL Results,,,,Question,Numeric,
714752ad-61df-44e0-ae40-fa9bf4f9d831,,Adherence Good,Good,Adherence Good,,,,Misc,N/A,
535ea56b-0138-4804-ab23-e70f2dbe0b61,,Adherence Fair,Fair,Adherence Fair,,,,Misc,N/A,
f05f31c1-5f06-4ada-8cbd-a877cb06442a,,Adherence Poor,Poor,Adherence Poor,,,,Misc,N/A,
