Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:151,Data class,Data type,Answers
691bd529-9a89-475f-a9ab-7cbe61ca2158,,ART Regimen,ART Regimen,Classification For ART Regimens,,,,Misc,N/A,
e2acae74-9559-49b7-a5a7-36b633a5427d,,Dapsone/CTX,Dapsone/CTX,Category for Dapsone/CTX,,,,Misc,N/A,
44209b47-f2d4-412b-991b-2cdd076f9361,,Dapsone,Dapsone,Dapsone,,,,Misc,N/A,
2bd89d11-3fae-41fb-b44c-4ef896205563,yes,CTX,CTX,CTX,,,,Misc,N/A,
32681258-b662-496c-b5a2-51077f0d890c,,IPT,IPT,IPT,,,,Misc,N/A,
25240780-4d3e-4433-ad83-b01cbf59f287,,TB Drug,TB Drug,TB Drug,,,,Misc,N/A,
f8c61966-0a8a-425f-858c-93dfabc1c82c,,Dapsone Drugs,Dapsone,Category for Dapsone Drugs,,,,Misc,N/A,
9844649e-0411-4011-a1f8-4a0da4155c76,,CTX Drug,CTX,Category for CTX Drugs,,,,Misc,N/A,
4aa90dd4-5049-46c2-805b-0bf532f303b0,,CTX (120mg),CTX (120mg),CTX (120mg),,,,Misc,N/A,
14e32f50-88cd-48eb-8c3e-9292bfc6ee96,,CTX (480mg),CTX (480mg),CTX (480mg),,,,Misc,N/A,
343bd4e4-a5db-461f-b2a2-d18452305671,,CTX (960mg),CTX (960mg),CTX (960mg),,,,Misc,N/A,
506c17fe-16c4-4907-bc1f-8a99ca7f365b,yes,LPV/r,LPV/r,LPV/r,,,,Misc,N/A,
c471f1d7-d50f-4003-96dd-20c1d709f2b7,,ABC/3TC+DTG,ABC/3TC+DTG,ABC/3TC+DTG,,,,Misc,N/A,
092cb28a-2926-4f31-aa77-e86349a92fa2,,TDF/3TC/DTG,TDF/3TC/DTG,TDF/3TC/DTG,,,,Misc,N/A,
4f39254b-dfe7-4a42-82f9-0052bf9b5e70,,AZT+3TC+LPV/r,AZT+3TC+LPV/r,AZT+3TC+LPV/r,,,,Misc,N/A,
ea30af59-cea5-431c-aef2-b42366c272de,,AZT+3TC+NVP,AZT+3TC+NVP,AZT+3TC+NVP,,,,Misc,N/A,
31130f2b-524d-4c26-a2a4-05d7c3bb9f33,,ABC+3TC+LPV/r,ABC+3TC+LPV/r,ABC+3TC+LPV/r,,,,Misc,N/A,
19daabc4-057e-4ab7-b58b-c51d3fb6de01,,ABC+3TC+EFV,ABC+3TC+EFV,ABC+3TC+EFV,,,,Misc,N/A,
192573f6-1bbb-45ac-84e6-cd6aebc6ea9e,,AZT+3TC+RAL,AZT+3TC+RAL,AZT+3TC+RAL,,,,Misc,N/A,
22cbf310-9a1e-4b49-8ba2-2c4a3810ae67,,ABC+3TC+RAL,ABC+3TC+RAL,ABC+3TC+RAL,,,,Misc,N/A,
60a5990d-8f4d-4320-ae4b-452e79fb334c,,AZT+3TC+EFV,AZT+3TC+EFV,AZT+3TC+EFV,,,,Misc,N/A,
e071d3a4-28e3-409d-97a5-89cc039d2afb,,ABC+3TC+DTG,ABC+3TC+DTG,ABC+3TC+DTG,,,,Misc,N/A,
9d7279bf-e4a6-499b-b2d5-804fdbe55c7d,,AZT+ 3TC+EFV,AZT+ 3TC+EFV,AZT+ 3TC+EFV,,,,Misc,N/A,
6d8fca22-3acd-42c3-b022-0ad418cf34be,,TDF+3TC+DTG,TDF+3TC+DTG,TDF+3TC+DTG,,,,Misc,N/A,
057a59b0-19e1-43c5-9680-8defc05ed54f,,AZT/3TC+EFV,AZT/3TC+EFV,AZT/3TC+EFV,,,,Misc,N/A,
976555d1-5fde-4eb5-81d9-8e1baf5d159d,,ABC/3TC+LPV/r,ABC/3TC+LPV/r,ABC/3TC+LPV/r,,,,Misc,N/A,
6df50daa-514c-48d7-917e-a677d5847ea4,,ABC/3TC+AZT,ABC/3TC+AZT,ABC/3TC+AZT,,,,Misc,N/A,
061160e0-ca02-455e-9642-b6326cd54584,,ABC/3TC+LPV/r+RTV,ABC/3TC+LPV/r+RTV,ABC/3TC+LPV/r+RTV,,,,Misc,N/A,
c2d14a27-7b96-4529-bece-48a87e85fb86,,ABC/3TC+double dose DTG*,ABC/3TC+double dose DTG*,ABC/3TC+double dose DTG*,,,,Misc,N/A,
c0636109-3ff1-4b0a-b4e7-357ebd0afc66,,ABC/3TC+EFV,ABC/3TC+EFV,ABC/3TC+EFV,,,,Misc,N/A,
