Uuid,Answers,Members,Fully specified name:en,Data class,Data type,_version:3,_order:127
609d59f7-79d1-4748-ad86-57c831dbff60,"Condoms;
Implant;
Depo;
I-Injectable;
ECP-Emergency contraceptive pills;
OC-Oral contraceptive pills;
IUD-Intrauterine device;
LAM-Lactational Amenorrhea Method;
D-Diaphragm/Cervical cap;
FA-Fertility awareness method;
TL-Tubal Ligation;
V-Vasectomy (Partner's);
UND-Undecided",,FP Method,Question,Coded,,
1c44444b-ac9a-4d2a-bb83-9299ab05668c,2HRZE/4RH ; 2SHRZE/1HRZE/5RH,,TB Regimen On,Question,Coded,,
4199b8d5-ab1f-4623-9083-a6764059f424,2HRZE/10RH,,TB Regimen For Children,Question,Coded,,
5ba046b4-42e9-4ffb-81a2-6cd4fc03ee70,4 Am-Mfx-Pto-Clz-Z-H high-dose-E/5 Mfx-Cfx-Cfz-Z-E,,TB Regimen Second Line,Question,Coded,,
e360501a-123a-4efb-93ef-4dc19d031921,Adherence Good ; Adherence Fair ; Adherence Poor,,CTX Adherence,Question,Coded,,
e38e6ce2-92d9-4382-927b-5555ff9fa850,Stage 1 ;Stage 2 ;Stage 3;Stage 4,,WHO Stage,Question,Coded,,
23322fd6-3dbb-410e-8bee-6210dfcd5f71,"1a = AZT/3TC + EFV;
1b = AZT/3TC/NVP;
1c = TDF/3TC/DTG;
1d = ABC/3TC (600/300) /DTG;
1e = AZT/3TC + DTG;
1f = TDF/3TC/EFV;
1g = TDF/3TC + NVP;
1h = TDF/FTC/ EFV;
1J = TDF/FTC + NVP;
2a = AZT/3TC + DTG;
2b = ABC/3TC + DTG;
2c = TDF+3TC + LPV/r;
2d = TDF/3TC + ATV/r;
2e = TDF/FTC-LPV/r;
2f = TDF/FTC-ATV/r;
2g = AZT/3TC + LPV/r;
2h = AZT/3TC + ATV/r;
2i = ABC/3TC + LPV/r;
2J = ABC/3TC + ATV/r;
2k = TDF/3TC/DTG;
4a = AZT/3TC/NVP;
4b = AZT/3TC + EFV;
4c = ABC/3TC (120/60) + LPV/r;
4d = ABC/3TC (120/60) + DTG50;
4e = ABC/3TC (120/60)+DTG10;
4f = ABC/3TC + NVP;
4g = ABC/3TC (120/60) + EFV (200mg);
4h = TDF/3TC/EFV;
4i = ABC/3TC + LPV/r;
4j = AZT/3TC (60/30) + LPV/r;
4k = TDF/3TC + NVP;
4l = ABC/3TC + AZT;
5a = AZT/3TC+LPV/r;
5b = AZT/3TC + RAL;
5c = ABC/3TC (120/60) + RAL;
5d = AZT/3TC + ATV/r;
5e = ABC/3TC + ATV/r;
5f = TDF/ 3TC + ATV/r;
5g = AZT/3TC + DTG50;
5h = ABC/3TC + DTG50;
5i = ABC/3TC + LPV/r;
5j = AZT/3TC (120/60)+DTG10;
Other ART Regimen",,ARV Regimen,Question,Coded,,
cf5c7deb-f67c-4406-82ea-d619e502f47c,Yes; No,,Currently Breastfeeding?,Question,Coded,,
5dcb1bc9-ee89-4b57-9493-a1f245c5ee8b,Yes; No,,Is the client Pregnant?,Question,Coded,,
7ddb08f2-09e8-48ef-a08f-3744467fec48,Yes; No,,INH,Question,Coded,,
da20f4fc-94b4-421c-896c-cf16a834227a,Yes; No,,Enroll Patient To PMTCT,Question,Coded,,
1d593268-8a2d-4030-bf1d-9c341d47f875,Yes; No,,PMTCT - HIV & ART Follow up,Question,Coded,,
da20f4fc-94b4-421c-896c-cf16a834227a,Yes; No,,Enroll Patient To PMTCT,Question,Coded,,
58ab89cd-6674-480b-95a0-5b761b0275cb,Yes; No,,On TB Treatment,Question,Coded,,
147b8be8-d657-4e46-8970-6f9983b27722,Yes; No,,Current Cough,Question,Coded,,
6e259aec-edea-4ee0-8aa8-4e03f266cd60,Yes; No,,Is the client on CTX,Question,Coded,,
0cb0b2c1-6609-4d98-9ebf-72ba3f33118d,Yes; No,,Is the client on Dapsone,Question,Coded,,
9a67ecbf-5229-4de0-a533-382a87c01d76,Yes; No,,Any other Medications Given?,Question,Coded,,
32fb9948-d296-4eec-8dfd-699539ba5b05,Yes; No,,Other Investigations Done?,Question,Coded,,
