Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:120,Data class,Data type,Answers
29e0c25a-02c8-4ee8-aa43-8296e9b341d4,,reactive,reactive,reactive,,,,Misc,N/A,
29e0c25a-02c8-4ee8-aa43-8296e9b341d4,,Nonreactive,Nonreactive,Nonreactive,,,,Misc,N/A,
3b75cc72-924b-4d36-8891-95484287495e,,unknown,unknown,unknown,,,,Misc,N/A,
5eedf493-6d2c-4c0d-8ea6-d43b539b39da,,Maternal HIV Status,Maternal HIV Status,Maternal HIV Status,,,,Misc,Coded,Reactive; Nonreactive; unknown
544e8688-7ab4-4604-9523-fb166fc7838e,,laboratory findings CBC,laboratory findings CBC,laboratory findings CBC,,,,Misc,N/A,
ddcd2df8-9c6b-4b00-8822-0609de34ee54,,Systemic findings,Systemic findings,Systemic findings,,,,Misc,N/A,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
e1dff29e-6ce5-45c9-a464-ea38548291f8,,Head - Organ system,Head - Organ system,Head - Organ system,,,,Misc,Coded,Normal; Abnormal
a1d22675-5dad-4d72-bea7-77e4f23ea3c2,,Thin sparse hair,Thin sparse hair,Thin sparse hair,,,,Misc,N/A,
02b1784b-75bf-4cd1-ab72-5e25382a2b33,,White scaly scalp lesion,White scaly scalp lesion,White scaly scalp lesion,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
f2f9751a-0b47-412e-9766-1c2c9731088c,,Head- Organ system If abnormal tick and /or  describe additional findings,,,,,,Misc,Coded,Thin sparse hair; White scaly scalp lesion; Abnormal Other
b6dabbb4-90d8-41c4-93d9-832ce5801a73,,Abnormal findings head Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
729a2e47-dcd7-4d6c-9f34-1ecf6c983d33,,Ears -Organ system,,,,,,Misc,Coded,Normal; Abnormal
11d82ec3-055a-455f-858f-f12866464422,,Ear Discharge(L/R),Ear Discharge(L/R),Ear Discharge(L/R),,,,Misc,N/A,
cda45ab5-2a42-4a08-b4df-52ea9e2914ee,,Tympanic membrane bulge/redness (L/R),Tympanic membrane bulge/redness (L/R),Tympanic membrane bulge/redness (L/R),,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
c9b51e4d-3c12-4593-a442-622bad9f0582,,Ears - If abnormal tick and /or describe additional findings,,,,,,Misc,Coder,Ear Discharge(L/R); Tympanic membrane bulge/redness (L/R); Abnormal Other
b83e6861-1926-4573-9d36-2851ff807284,,Abnormal findings ears Other specify,Abnormal findings ears Other specify,Abnormal findings ears Other specify,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
730bcb56-24b7-44b0-ac9a-1476ff35d3dc,,Eyes -Organ system,Eyes -Organ system,Eyes -Organ system,,,,Misc,Coded,Normal; Abnormal
06438d7c-6a3d-4a2b-92a3-8fb3aa91b31e,,Yellow sclera,Yellow sclera,Yellow sclera,,,,Misc,N/A,
624b68f2-9400-473f-8e63-36e9125e89a5,,purulent discharge,purulent discharge,purulent discharge,,,,Misc,N/A,
5b06ecdd-44da-456c-b46e-590de978030c,,pale conjunctivae,pale conjunctivae,pale conjunctivae,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
8a008ed0-9645-4862-9ce7-bca4c0936365,,Eyes - If abnormal tick and /or describe additional findings,,,,,,Misc,Coder,Yellow sclera; purulent discharge;  pale conjunctivae; Abnormal Other
d36065d5-11cd-4479-b7a8-f28ca3bcc90c,,Abnormal findings eyes Other specify,Abnormal findings eyes Other specify,Abnormal findings eyes Other specify,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
32d19a0e-2f92-4135-802d-6e35c1361129,,Nose -Organ system,Nose -Organ system,Nose -Organ system,,,,Misc,Coded,Normal; Abnormal
2c2573e7-57bd-4104-8b9c-9694da608e08,,If Abnormal describe,If Abnormal describe,If Abnormal describe,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
cdb59437-578a-4326-a07f-7cdb846ef297,,Mouth -Organ system,Mouth -Organ system,Mouth -Organ system,,,,Misc,Coded,Normal; Abnormal
d946be39-07d1-4e1b-9990-6f626445b8a7,,Angular cheilitis,Angular cheilitis,Angular cheilitis,,,,Misc,N/A,
6aa356a1-7f6d-4fff-a48d-063273bd75bc,,Gingival edema and bleeding,Gingival edema and bleeding,Gingival edema and bleeding,,,,Misc,N/A,
ec7b937c-6e4b-4533-8c75-281c806d791a,,Oral thrash,Oral thrash,Oral thrash,,,,Misc,N/A,
8b7dd03f-5c59-4118-9565-ecd990263258,,Oral Ulcer,Oral Ulcer,Oral Ulcer,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
b413af4e-ce12-4037-971c-8bf6dfa44229,,Mouth - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,"Angular cheilitis; Gingival edema and bleeding; Oral thrash, Oral Ulcer; Abnormal Other"
0c12079f-df18-40e8-8f8a-e6d9055a8ef5,,Abnormal findings mouth Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
3e6cf85e-1e91-4381-a777-45b2cde95af6,,Throat -Organ system,Throat -Organ system,Throat -Organ system,,,,Misc,Coded,Normal; Abnormal
740c587b-5121-4cbc-a2c7-63b804490ada,,Exudative tonsillitis,,,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
12da1aaa-e14f-457b-b238-9b1d2874bfa6,,Throat - If abnormal tick and /or describe  additional findings,,,,,,Misc,Coded,Exudative tonsillitis; Other
