Uuid, Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:136
b9d46cb9-6cab-4a36-9eb4-2269fa7f7530,Unkown/Not tested;Known;Newly Tested,,TB Screening - HIV Status,HIV Status,Question,Coded,,
d40f80b6-9a56-45d5-8f41-26dd8b802f2d,Newly Tested HIV+ ;Newly tested HIV-,,Newly Tested HIV Results,HIV Results,Question,Coded,,
8993337f-4a6b-4f01-b3a0-780bc6d85c63,,"Date ; Current Cough ; TB Screening , Fever ; TB Screening ,Weight loss ;Failure to Thrive, Children;TB Screening , Night Sweats ;  Close Contact History with TB patients;TB Screening - HIV Status ; Newly Tested HIV Results",TB Screening information,,Misc,N/A,,
c2f01b10-1b5e-485a-a352-05788359d881,MTB Detected ; MTB Not Detected;TB MDR,,"GeneXpert , Result",,Question,Coded,,
567a949c-1ff8-499d-afeb-3b54893fa1e8,,"Date Test Requested, GeneXpert; Date Results Received, GeneXpert ; GeneXpert , Result",GeneXpert Information,,Misc,N/A,,
e6b84479-69fe-4524-a7cd-c2f9197436c3,"AFB +  ; AFB - ; Sputum Results, Unknown",,"AFB Microscopic, Results",,Question,Coded,,
8074d855-6624-4577-b220-0a54eeb771be,,"Date Test Requested, Microscopic ; Date Results Received,  Microscopic ; AFB Microscopic, Results",AFB Microscopic,,Misc,N/A,,
0e0f1065-4457-41b7-a133-8724ae8c2815,,,"FNA, Results",,Question,Coded,,
4b642bd2-8c68-4c7c-bec7-b79f77d35b6a,,"Date Test Requested, FNA; Date Results Received,  FNA ; FNA, Results",FNA,,Misc,N/A,,
44dad473-db51-42fb-b1ba-07edcab3e9d7,,,"Culture, Results",,Question,Coded,,
7df0e3f9-055b-4aa2-826f-a88125f9ee90,,"Date Test Requested, Culture; Date Results Received,  Culture ; Culture, Results","Culture, TB Investigations",,Misc,N/A,,
9d4dab26-8b4d-47aa-bdd2-3fc8cb0e2dbe,,"Date Test Requested, Crx ; Date Results Received,  Crx ; CxR Results",Chest X-RAY Investigations,,Question,Coded,,
a4dfd4b4-97e5-4642-9c33-72375b0bc3d8,,"Date Test Requested, Crx ; Date Results Received,  Crx ;CRX Results",CXR,,Misc,N/A,,
6185eed1-bf16-49fe-bafa-31362233818e,,"Date Test Requested, Crx ; Date Results Received,  Crx ; CxR Results",Crx,,Misc,N/A,,
fdaa7259-df0b-4e26-9d9c-de2ca68dff1d,"AFB +  ; AFB - ; Sputum Results, Unknown",,"Sputum for AFB, Result",,Question,Coded,,
39fffef8-0e8b-4432-9ab4-d870b32ea3c6,,"Sputum for AFB, Has it been done? ; Sputum for AFB, Result",Bacteriology: Sputum For AFB Information,,Misc,N/A,,
ad8ecb63-6b5d-49b2-9a9d-e16d7a0efc40,Yes;No,,"FNA,Culture, UltraSound - Done? ",,Question,Coded,,
7c679f4f-cae6-43ba-bf18-0f3bd9f060a8,Suggestive ; Inclusive ; Other Dx; CxR result Unknown,,CxR Results,,Question,Coded,,
363f10c8-bce7-4627-8890-62fafd8edb43,,Has CxR been Done? ; CxR Results,Radiology CrX Information,,Misc,N/A,,
91a9550c-fd9b-41de-87d5-594c2dc66628,IPT - Completed; IPT -Not Completed,,IPT Status - TB Screening,IPT Status,Question,Coded,,
30da41a9-a6fb-41bc-b88d-4f3c2c3ef962,,,Scheduled to complete  6 months of IPT/TPT,Scheduled to complete  6 months of IPT/TPT,Question,Boolean,,
667f0293-60b9-48e5-8e18-e9a95810c41d,,,IPT Schedule(6months),Scheduled to complete  6 months of IPT/TPT,Question,Boolean,,
2a4779a1-5d19-41ee-8955-3fab5953fdb7,,,Completed 6 months of IPT/TPT  ,,Question,Boolean,,
169895bd-1c27-4f41-9016-f76383964b68, Pulmonary ;  Extrapulmonary ; Pulmonary + Extrapulmonary ; Disseminated,,"Tuberculosis, Type",,Question,Coded,,
2738d495-eb4e-457d-972f-76db4ef00c72,,IPT Schedule(6months);IPT Status - TB Screening;IPT Start Date;IPT Stop Date ,IPT Information,,Misc,N/A,,
5f8378c9-6cce-4b54-9924-e8e732713c29,,"TB Diagnosed? ; Tuberculosis, Type",TB Diagnosis Information,,Misc,N/A,,
fe8890ae-bacb-4fe4-b41e-9b843166cb2b,,"GeneXpert Information ; AFB Microscopic ;Chest X-RAY Investigations; FNA ; Culture, TB Investigations ;IPT Information;TB Diagnosis Information",TB Investigation,,Misc,N/A,,
6fa69c2e-3ddf-4c9e-b31b-1de9629eb8e1,,TB Screening information ;TB Investigation,TB SCREENING FORM,,Misc,N/A,,
147b8be8-d657-4e46-8970-6f9983b27722,Yes;No,,Current Cough,,Question,Coded,,
f405d8ec-14d0-485a-b52d-bffdfeb26581,Yes;No,,"TB Screening , Fever",,Question,Coded,,
78f5bc62-ecbe-457f-87dd-def20dbee82e,Yes;No,,"TB Screening ,Weight loss",,Question,Coded,,
2e3a7f51-8063-4ff4-9621-af2debc7e3c0,Yes;No,,"Failure to Thrive, Children",,Question,Coded,,
9e0bf1ca-dbbe-4024-9d1c-174f4ab1e80d,Yes;No,,"TB Screening , Night Sweats",,Question,Coded,,
51b82f82-0c27-46e3-9f33-6d65cc1f6eed,Yes;No,,Close Contact History with TB patients,,Question,Coded,,
c50addfe-baf4-4ed0-b470-d6d4678b4359,Yes;No,,"Gene , Has it Been Done?",,Question,Coded,,
06fbce51-d4ff-4ad3-b911-def303f3d2e2,Yes;No,,"Sputum for AFB, Has it been done?",,Question,Coded,,
ad8ecb63-6b5d-49b2-9a9d-e16d7a0efc40,Yes;No,,"FNA,Culture, UltraSound - Done? ",,Question,Coded,,
edf1eec7-f766-4371-814b-0c18024217bb,Yes;No,,Has CxR been Done?,,Question,Coded,,
667f0293-60b9-48e5-8e18-e9a95810c41d,Yes;No,,IPT Schedule(6months),,Question,Coded,,
30da41a9-a6fb-41bc-b88d-4f3c2c3ef962,Yes;No,,Scheduled to complete  6 months of IPT/TPT,,Question,Coded,,
2a4779a1-5d19-41ee-8955-3fab5953fdb7,Yes;No,,Completed 6 months of IPT/TPT  ,,Question,Coded,,
1b4f4df7-dddc-4e73-ab18-304c4fd12953,Yes;No,,TB Diagnosed?,,Question,Coded,,
9a1a731e-937b-46fe-aca2-acf83a326b71,"No Signs;
Pr TB - Presumptive TB;
INH screened negative and currently on INH prophylaxis;
TB Rx - currently on TB treatment;
ND - TB Screening not done",,TB Status,,Question,Coded,,
7ddb08f2-09e8-48ef-a08f-3744467fec48,Yes;No,,INH,,Question,Coded,,
