Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
3c2ded2c-6856-11ee-8c99-0242ac120002,,TB Screening,Encounter for Tb screening form,,,,
3c2df02e-6856-11ee-8c99-0242ac120002,,Community Linkage,Encounter for  community linkage logbook,,,,
913a8900-6857-11ee-8c99-0242ac120002,,VL Lab Request,Encounter for capturing vl lab request,Encounter for  community linkage logbook,,,,
f7f1c854-69e5-11ee-8c99-0242ac120002,,High Viral Load,Encounter for capturing high vl,,,,
b645dbdd-7d58-41d4-9b11-eeff023b8ee5,,Adult and Adolescent intake Form,Encounter for Adult and Adolescent intake Form,,,,
0e9f540d-92cb-43c9-a95c-9407f5bf3f2a,,Personal Family and treatment history,Encounter for Personal Family and treatment history,,,,
e8481555-9dd1-4bb5-ba8c-cb721dafb166,,Follow up,Encounter for Follow up Follow up,,,,
f469b65f-a4f6-4723-989a-46090de6a0e5,,HIV testing information,Encounter for Follow up HIV testing information,,,,
356def6a-fa66-4a78-97d5-b43154064875,,Pediatric HIV care and treatment intake,Encounter for Pediatric HIV care and treatment intake,,,,
82024e00-3f10-11e4-adec-0800271c1b75,,VL laboratory request form,Encounter for capturing VL laboratory request form,,,,
3bf40d2b-c8a2-4a7d-9da2-adb33860e0f8,,Follow up outcome,Encounter for capturing Follow up outcome,,,,
81852aee-3f10-11e4-adec-0800271c1b75,,ART treatment interruption,Encounter for capturing ART treatment interruption,,,,
48f025b6-13eb-4c28-8bb0-3aa776b89634,,Community linkage,Encounter for capturing Community linkage,,,,
